 batch,IMC_val,history_count,variance,stdv,rel_err
71,  5.4160843E-01,1958,  9.5443683E-03,  9.7695283E-02,  7.8998085E-04
72,  7.1750436E-01,1977,  9.9136417E-03,  9.9567272E-02,  7.8998085E-04
73,  5.4824577E-01,1996,  9.7829765E-03,  9.8908930E-02,  7.8998085E-04
74,  6.0272806E-01,2015,  9.7232154E-03,  9.8606366E-02,  7.8998085E-04
75,  5.2010059E-01,2035,  9.5948638E-03,  9.7953376E-02,  7.8998085E-04
76,  5.6795847E-01,2055,  9.4874472E-03,  9.7403528E-02,  7.8998085E-04
77,  5.2098520E-01,2075,  9.3653642E-03,  9.6774812E-02,  7.8998085E-04
78,  5.0322953E-01,2095,  9.2545392E-03,  9.6200516E-02,  7.8998085E-04
79,  6.1108827E-01,2115,  9.2197568E-03,  9.6019565E-02,  7.8998085E-04
80,  5.4520520E-01,2136,  9.1070232E-03,  9.5430724E-02,  7.8998085E-04
81,  4.8100001E-01,2157,  9.0252137E-03,  9.5001124E-02,  7.8998085E-04
82,  6.0531936E-01,2178,  8.9825927E-03,  9.4776541E-02,  7.8998085E-04
83,  6.9364430E-01,2199,  9.1876629E-03,  9.5852297E-02,  7.8998085E-04
84,  5.3365434E-01,2220,  9.0782869E-03,  9.5280045E-02,  7.8998085E-04
85,  4.6831731E-01,2242,  9.0206789E-03,  9.4977254E-02,  7.8998085E-04
86,  4.9864764E-01,2264,  8.9290364E-03,  9.4493579E-02,  7.8998085E-04
87,  5.6579496E-01,2286,  8.8392226E-03,  9.4017140E-02,  7.8998085E-04
88,  5.2599565E-01,2308,  8.7392658E-03,  9.3484040E-02,  7.8998085E-04
89,  6.5024770E-01,2331,  8.7950570E-03,  9.3781965E-02,  7.8998085E-04
90,  5.4202694E-01,2354,  8.6980706E-03,  9.3263447E-02,  7.8998085E-04
91,  5.6698066E-01,2377,  8.6143585E-03,  9.2813568E-02,  7.8998085E-04
92,  5.0594788E-01,2400,  8.5293631E-03,  9.2354551E-02,  7.8998085E-04
93,  6.0045375E-01,2424,  8.4846434E-03,  9.2112124E-02,  7.8998085E-04
94,  6.1616758E-01,2448,  8.4642345E-03,  9.2001274E-02,  7.8998085E-04
95,  5.5980612E-01,2472,  8.3812564E-03,  9.1549202E-02,  7.8998085E-04
96,  4.9005236E-01,2496,  8.3155465E-03,  9.1189619E-02,  7.8998085E-04
97,  4.7198486E-01,2520,  8.2707805E-03,  9.0943832E-02,  7.8998085E-04
98,  3.6986073E-01,2545,  8.4607967E-03,  9.1982589E-02,  7.8998085E-04
99,  4.7107105E-01,2570,  8.4136955E-03,  9.1726199E-02,  7.8998085E-04
100,  4.1945848E-01,2595,  8.4558076E-03,  9.1955466E-02,  7.8998085E-04
101,  4.9091582E-01,2620,  8.3880393E-03,  9.1586240E-02,  7.8998085E-04
102,  4.6213324E-01,2646,  8.3516525E-03,  9.1387376E-02,  7.8998085E-04
103,  6.1012334E-01,2672,  8.3320098E-03,  9.1279843E-02,  7.8998085E-04
104,  5.1436695E-01,2698,  8.2545159E-03,  9.0854367E-02,  7.8998085E-04
105,  5.1766356E-01,2724,  8.1775292E-03,  9.0429692E-02,  7.8998085E-04
106,  5.5335087E-01,2751,  8.1051881E-03,  9.0028818E-02,  7.8998085E-04
107,  5.3976995E-01,2778,  8.0301691E-03,  8.9611211E-02,  7.8998085E-04
108,  5.2374474E-01,2805,  7.9562947E-03,  8.9198064E-02,  7.8998085E-04
109,  4.5059876E-01,2833,  7.9419232E-03,  8.9117469E-02,  7.8998085E-04
110,  5.4558641E-01,2861,  7.8718656E-03,  8.8723535E-02,  7.8998085E-04
111,  5.7105843E-01,2889,  7.8157737E-03,  8.8406864E-02,  7.8998085E-04
112,  6.0889162E-01,2917,  7.8001262E-03,  8.8318323E-02,  7.8998085E-04
113,  4.2148921E-01,2946,  7.8370067E-03,  8.8526870E-02,  7.8998085E-04
114,  5.1871437E-01,2975,  7.7694485E-03,  8.8144475E-02,  7.8998085E-04
115,  5.5389337E-01,3004,  7.7066871E-03,  8.7787739E-02,  7.8998085E-04
116,  5.5414987E-01,3034,  7.6450289E-03,  8.7435856E-02,  7.8998085E-04
117,  5.3009975E-01,3064,  7.5796899E-03,  8.7061415E-02,  7.8998085E-04
118,  4.9520964E-01,3094,  7.5260403E-03,  8.6752754E-02,  7.8998085E-04
119,  4.4181003E-01,3124,  7.5281950E-03,  8.6765172E-02,  7.8998085E-04
120,  5.1132526E-01,3155,  7.4682371E-03,  8.6418963E-02,  7.8998085E-04
121,  4.7919123E-01,3186,  7.4272637E-03,  8.6181574E-02,  7.8998085E-04
122,  6.0091550E-01,3217,  7.4083261E-03,  8.6071633E-02,  7.8998085E-04
123,  4.7769536E-01,3249,  7.3698854E-03,  8.5848037E-02,  7.8998085E-04
124,  5.7413597E-01,3281,  7.3265646E-03,  8.5595354E-02,  7.8998085E-04
125,  6.3250729E-01,3313,  7.3519670E-03,  8.5743612E-02,  7.8998085E-04
126,  5.2086694E-01,3346,  7.2943395E-03,  8.5406906E-02,  7.8998085E-04
127,  4.9338459E-01,3379,  7.2475862E-03,  8.5132757E-02,  7.8998085E-04
128,  5.2605972E-01,3412,  7.1910893E-03,  8.4800291E-02,  7.8998085E-04
