 rel_batch,history,calc_int,stddev,batch_time,thread_num
133,1637917,  8.2231401E-01,  7.5414765E-06,  0.0000000E+00,0
134,6219973,  8.2246347E-01,  4.8502793E-05,  0.0000000E+00,0
135,25982382,  8.2247206E-01,  1.8851143E-05,  0.0000000E+00,0
136,55695548,  8.2245493E-01,  1.3934191E-05,  0.0000000E+00,0
137,79,  8.1455942E-01,  2.8264480E-02,  0.0000000E+00,0
138,312,  8.2517795E-01,  7.7146596E-03,  0.0000000E+00,0
139,1175,  8.2668380E-01,  2.0920029E-03,  0.0000000E+00,0
140,4895,  8.2113578E-01,  7.0580237E-04,  0.0000000E+00,0
141,20432,  8.2229126E-01,  5.8109021E-04,  0.0000000E+00,0
142,85338,  8.2264666E-01,  3.0245407E-04,  0.0000000E+00,0
143,356462,  8.2254269E-01,  1.6822630E-04,  0.0000000E+00,0
144,1489016,  8.2257488E-01,  6.0599573E-05,  0.0000000E+00,0
145,5654521,  8.2242687E-01,  5.1815414E-05,  0.0000000E+00,0
146,21473042,  8.2244767E-01,  1.0400880E-05,  0.0000000E+00,0
147,41844888,  8.2245348E-01,  2.0430295E-05,  0.0000000E+00,0
148,60,  8.2091504E-01,  7.9825751E-03,  0.0000000E+00,0
149,196,  8.3051399E-01,  2.4789729E-02,  0.0000000E+00,0
150,804,  8.2128367E-01,  6.7815246E-03,  0.0000000E+00,0
151,2286,  8.2273236E-01,  4.2842392E-03,  0.0000000E+00,0
152,8669,  8.2142658E-01,  9.1860615E-04,  0.0000000E+00,0
153,32904,  8.2239840E-01,  2.8492077E-04,  0.0000000E+00,0
154,113583,  8.2258369E-01,  1.1095302E-04,  0.0000000E+00,0
155,392108,  8.2239984E-01,  2.2517713E-04,  0.0000000E+00,0
156,1017019,  8.2236516E-01,  1.8249683E-04,  0.0000000E+00,0
157,2398071,  8.2243879E-01,  1.1506860E-04,  0.0000000E+00,0
158,7526167,  8.2245531E-01,  2.6710395E-05,  0.0000000E+00,0
159,259,  8.1302396E-01,  1.6858800E-02,  0.0000000E+00,0
160,2514,  8.2438936E-01,  4.2263154E-03,  0.0000000E+00,0
161,10488,  8.2301962E-01,  7.4946444E-04,  0.0000000E+00,0
162,43794,  8.2211540E-01,  2.9865886E-04,  0.0000000E+00,0
163,182924,  8.2247264E-01,  4.6268247E-04,  0.0000000E+00,0
164,764102,  8.2233601E-01,  1.4494260E-04,  0.0000000E+00,0
165,3191831,  8.2251380E-01,  4.4667636E-05,  0.0000000E+00,0
166,12120970,  8.2245968E-01,  2.0798119E-05,  0.0000000E+00,0
167,46029376,  8.2246258E-01,  1.8420243E-05,  0.0000000E+00,0
168,98668064,  8.2247352E-01,  9.9816545E-06,  0.0000000E+00,0
169,144459920,  8.2246671E-01,  7.5515434E-06,  0.0000000E+00,0
170,72,  8.1128743E-01,  3.4045427E-02,  0.0000000E+00,0
171,284,  8.2586829E-01,  1.1148631E-02,  0.0000000E+00,0
172,455,  8.2752984E-01,  1.0459352E-03,  0.0000000E+00,0
173,972,  8.2416890E-01,  3.9083649E-03,  0.0000000E+00,0
174,3345,  8.2278432E-01,  2.9311445E-03,  0.0000000E+00,0
175,13957,  8.2215285E-01,  3.3079910E-04,  0.0000000E+00,0
176,52990,  8.2239943E-01,  5.4201650E-04,  0.0000000E+00,0
177,221337,  8.2260840E-01,  3.1670246E-04,  0.0000000E+00,0
178,924563,  8.2236745E-01,  1.6046391E-04,  0.0000000E+00,0
179,3862115,  8.2251282E-01,  1.6514207E-05,  0.0000000E+00,0
180,16133012,  8.2250014E-01,  3.7135446E-05,  0.0000000E+00,0
