 rel_batch,history,calc_int,stddev,batch_time,thread_num
77,8669,  8.2176003E-01,  3.0235232E-04,  0.0000000E+00,0
78,9535,  8.2283088E-01,  1.7021329E-03,  0.0000000E+00,0
79,10488,  8.2257715E-01,  1.4094668E-03,  0.0000000E+00,0
80,11536,  8.2279414E-01,  9.4618372E-04,  0.0000000E+00,0
81,12689,  8.2251903E-01,  4.1247393E-04,  0.0000000E+00,0
82,13957,  8.2268822E-01,  7.8288024E-04,  0.0000000E+00,0
83,15352,  8.2328915E-01,  4.1633311E-04,  0.0000000E+00,0
84,16887,  8.2188323E-01,  2.3832899E-04,  0.0000000E+00,0
85,18575,  8.2271502E-01,  3.5272337E-04,  0.0000000E+00,0
86,20432,  8.2281622E-01,  2.4864663E-04,  0.0000000E+00,0
87,22475,  8.2282045E-01,  3.7138632E-04,  0.0000000E+00,0
88,24722,  8.2254929E-01,  6.1738831E-04,  0.0000000E+00,0
89,27194,  8.2286402E-01,  5.6097349E-04,  0.0000000E+00,0
90,29913,  8.2200432E-01,  6.0921371E-04,  0.0000000E+00,0
91,32904,  8.2220026E-01,  5.1759969E-04,  0.0000000E+00,0
92,36194,  8.2231141E-01,  3.3742458E-04,  0.0000000E+00,0
93,39813,  8.2275698E-01,  1.6643887E-04,  0.0000000E+00,0
94,43794,  8.2249505E-01,  1.9069763E-04,  0.0000000E+00,0
95,48173,  8.2227356E-01,  1.5228076E-04,  0.0000000E+00,0
96,52990,  8.2248640E-01,  7.5578519E-04,  0.0000000E+00,0
97,58289,  8.2265008E-01,  3.4695740E-04,  0.0000000E+00,0
98,64117,  8.2225253E-01,  2.2260114E-04,  0.0000000E+00,0
99,70528,  8.2262854E-01,  3.8061852E-04,  0.0000000E+00,0
100,77580,  8.2290007E-01,  2.0100908E-04,  0.0000000E+00,0
101,85338,  8.2254098E-01,  7.4442560E-05,  0.0000000E+00,0
102,93871,  8.2216658E-01,  7.2358925E-05,  0.0000000E+00,0
103,103258,  8.2272221E-01,  4.4033976E-04,  0.0000000E+00,0
104,113583,  8.2270017E-01,  3.4700091E-04,  0.0000000E+00,0
105,124941,  8.2240922E-01,  3.0747075E-04,  0.0000000E+00,0
106,137435,  8.2250272E-01,  1.3804617E-04,  0.0000000E+00,0
107,151178,  8.2252092E-01,  7.5171428E-05,  0.0000000E+00,0
108,166295,  8.2231032E-01,  1.0011128E-04,  0.0000000E+00,0
109,182924,  8.2259808E-01,  2.0403744E-04,  0.0000000E+00,0
110,201216,  8.2251396E-01,  4.8456318E-05,  0.0000000E+00,0
111,221337,  8.2252890E-01,  2.2220629E-04,  0.0000000E+00,0
112,243470,  8.2244665E-01,  9.1045172E-05,  0.0000000E+00,0
113,267817,  8.2237825E-01,  1.5242905E-04,  0.0000000E+00,0
114,294598,  8.2243662E-01,  1.6065933E-04,  0.0000000E+00,0
115,324057,  8.2237571E-01,  1.8998447E-04,  0.0000000E+00,0
116,356462,  8.2249164E-01,  2.6234641E-04,  0.0000000E+00,0
117,392108,  8.2241546E-01,  1.7032605E-04,  0.0000000E+00,0
118,431318,  8.2251226E-01,  8.7863106E-05,  0.0000000E+00,0
119,474449,  8.2247865E-01,  6.0037530E-05,  0.0000000E+00,0
120,521893,  8.2249116E-01,  1.8556630E-04,  0.0000000E+00,0
121,574082,  8.2256229E-01,  4.2954433E-05,  0.0000000E+00,0
122,631490,  8.2254006E-01,  6.1800171E-05,  0.0000000E+00,0
123,694639,  8.2246635E-01,  1.1562079E-04,  0.0000000E+00,0
124,764102,  8.2255316E-01,  7.1633991E-05,  0.0000000E+00,0
125,840512,  8.2253397E-01,  2.8643800E-05,  0.0000000E+00,0
126,924563,  8.2241789E-01,  6.5384598E-05,  0.0000000E+00,0
127,1017019,  8.2248929E-01,  8.1378980E-05,  0.0000000E+00,0
128,1118720,  8.2239693E-01,  6.6740350E-05,  0.0000000E+00,0
129,1230592,  8.2248004E-01,  5.5043622E-05,  0.0000000E+00,0
130,1353651,  8.2240874E-01,  1.0113545E-04,  0.0000000E+00,0
131,1489016,  8.2246303E-01,  5.6611391E-05,  0.0000000E+00,0
132,1637917,  8.2243376E-01,  6.1020200E-05,  0.0000000E+00,0
133,1801708,  8.2251163E-01,  9.8805739E-05,  0.0000000E+00,0
134,1981878,  8.2246027E-01,  7.0987184E-05,  0.0000000E+00,0
135,2180065,  8.2249478E-01,  4.5698482E-05,  0.0000000E+00,0
136,2398071,  8.2246548E-01,  2.5953529E-05,  0.0000000E+00,0
137,2637878,  8.2242043E-01,  7.3098352E-06,  0.0000000E+00,0
138,2901665,  8.2246739E-01,  3.5486750E-05,  0.0000000E+00,0
139,3191831,  8.2244070E-01,  4.2822049E-05,  0.0000000E+00,0
140,3511014,  8.2248715E-01,  7.2062110E-05,  0.0000000E+00,0
141,3862115,  8.2246904E-01,  5.9206434E-05,  0.0000000E+00,0
142,4248326,  8.2247860E-01,  5.1379344E-05,  0.0000000E+00,0
143,4673158,  8.2245899E-01,  1.8607331E-05,  0.0000000E+00,0
144,5140474,  8.2245181E-01,  1.2538501E-05,  0.0000000E+00,0
145,5654521,  8.2248165E-01,  4.6267660E-05,  0.0000000E+00,0
146,6219973,  8.2246615E-01,  3.3911621E-05,  0.0000000E+00,0
147,6841970,  8.2249540E-01,  1.8114267E-05,  0.0000000E+00,0
148,7526167,  8.2248072E-01,  5.3531535E-05,  0.0000000E+00,0
149,8278784,  8.2244480E-01,  4.7001047E-06,  0.0000000E+00,0
150,9106663,  8.2245200E-01,  4.1004802E-05,  0.0000000E+00,0
151,10017330,  8.2245472E-01,  3.1407069E-05,  0.0000000E+00,0
152,11019063,  8.2247198E-01,  2.9155153E-05,  0.0000000E+00,0
153,12120970,  8.2244926E-01,  6.3668668E-06,  0.0000000E+00,0
154,13333067,  8.2245529E-01,  2.3703445E-05,  0.0000000E+00,0
155,14666374,  8.2248060E-01,  1.5441949E-05,  0.0000000E+00,0
156,16133012,  8.2245837E-01,  1.2053829E-05,  0.0000000E+00,0
157,17746314,  8.2246375E-01,  8.9194274E-06,  0.0000000E+00,0
158,19520946,  8.2246628E-01,  2.1223565E-05,  0.0000000E+00,0
159,21473042,  8.2245200E-01,  1.7646645E-05,  0.0000000E+00,0
160,23620346,  8.2245891E-01,  1.0089577E-05,  0.0000000E+00,0
161,25982382,  8.2244930E-01,  1.3382020E-05,  0.0000000E+00,0
162,28580620,  8.2246492E-01,  1.6567114E-05,  0.0000000E+00,0
163,31438682,  8.2247496E-01,  1.6065660E-05,  0.0000000E+00,0
164,34582552,  8.2245428E-01,  1.2906264E-05,  0.0000000E+00,0
165,38040808,  8.2244668E-01,  1.4071204E-05,  0.0000000E+00,0
166,41844888,  8.2247392E-01,  1.1314306E-05,  0.0000000E+00,0
167,46029376,  8.2247456E-01,  4.8217304E-06,  0.0000000E+00,0
168,50632316,  8.2246009E-01,  5.1041823E-06,  0.0000000E+00,0
169,55695548,  8.2245629E-01,  1.1666532E-05,  0.0000000E+00,0
